codigo,icao,nome,municipio,uf,regiao,pais,passageiros_embarcados,passageiros_desembarcados,partidas,chegadas
AAX,SBAX,ROMEU ZEMA,ARAXÁ,MG,SUDESTE,BRASIL,3745,3772,411,207
AFL,SBAT,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,MT,CENTRO-OESTE,BRASIL,22036,22090,461,227
AIR,SSOU,ARIPUANÃ,ARIPUANÃ,MT,CENTRO-OESTE,BRASIL,1222,1276,381,234
AJU,SBAR,SANTA MARIA,ARACAJU,SE,NORDESTE,BRASIL,662356,660842,12900,5881
AQA,SBAQ,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,SUDESTE,BRASIL,933,1108,423,376
ARU,SBAU,ESTADUAL DARIO GUARITA,ARAÇATUBA,SP,SUDESTE,BRASIL,47988,46664,1270,622
ATM,SBHT,ALTAMIRA,ALTAMIRA,PA,NORTE,BRASIL,44144,42719,756,392
AUX,SWGN,ARAGUAÍNA,ARAGUAÍNA,TO,NORTE,BRASIL,2302,2230,62,62
BAT,SNBA,CHAFEI AMSEI (SBBT*),BARRETOS,SP,SUDESTE,BRASIL,232,258,112,79
BAZ,SWBC,BARCELOS,BARCELOS,AM,NORTE,BRASIL,218,148,59,49
BEL,SBBE,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,NORTE,BRASIL,1837022,1820038,27740,26769
BPG,SBBW,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,CENTRO-OESTE,BRASIL,552,719,253,193
BPS,SBPS,PORTO SEGURO,PORTO SEGURO,BA,NORDESTE,BRASIL,1148803,1154064,17872,8759
BRA,SNBR,BARREIRAS,BARREIRAS,BA,NORDESTE,BRASIL,27369,28041,1256,637
BRB,SSRS,BARREIRINHAS,BARREIRINHAS,MA,NORDESTE,BRASIL,23,55,6,21
BSB,SBBR,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,CENTRO-OESTE,BRASIL,7806963,7819236,95108,121245
BVB,SBBV,ATLAS BRASIL CANTANHEDE,BOA VISTA,RR,NORTE,BRASIL,204122,188689,3469,1510
BVH,SBVH,BRIGADEIRO CAMARÃO,VILHENA,RO,NORTE,BRASIL,11547,11546,255,107
BVS,SNVS,BREVES,BREVES,PA,NORTE,BRASIL,395,459,84,88
BYO,SBDB,BONITO,BONITO,MS,CENTRO-OESTE,BRASIL,34265,33621,646,322
CAC,SBCA,ADALBERTO MENDES DA SILVA,CASCAVEL,PR,SUL,BRASIL,229903,229728,5276,2145
CAU,SNRU,OSCAR LARANJEIRAS,CARUARU,PE,NORDESTE,BRASIL,143,120,64,54
CAW,SBCP,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,BRASIL,1876,1737,124,60
CFB,SBCB,CABO FRIO,CABO FRIO,RJ,SUDESTE,BRASIL,295,331,9,6
CGB,SBCY,MARECHAL RONDON,VÁRZEA GRANDE,MT,CENTRO-OESTE,BRASIL,1237373,1227421,21401,14629
CGH,SBSP,CONGONHAS,SÃO PAULO,SP,SUDESTE,BRASIL,12183047,12310639,123419,182182
CGR,SBCG,CAMPO GRANDE,CAMPO GRANDE,MS,CENTRO-OESTE,BRASIL,783404,786236,13809,6005
CIZ,SWKO,COARI,COARI,AM,NORTE,BRASIL,566,741,173,161
CJZ,SJZA,PEDRO VIEIRA MOREIRA,CAJAZEIRAS,PB,NORDESTE,BRASIL,196,189,97,73
CKS,SBCJ,CARAJÁS,PARAUAPEBAS,PA,NORTE,BRASIL,83811,87203,2162,1278
CLV,SBCN,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,GO,CENTRO-OESTE,BRASIL,25120,24825,394,201
CMG,SBCR,CORUMBÁ,CORUMBÁ,MS,CENTRO-OESTE,BRASIL,13389,13453,296,145
CNF,SBCF,TANCREDO NEVES,CONFINS,MG,SUDESTE,BRASIL,6113592,6102796,93526,108245
CPV,SBKG,PRESIDENTE JOÃO SUASSUNA,CAMPINA GRANDE,PB,NORDESTE,BRASIL,74423,73275,2165,1234
CWB,SBCT,AFONSO PENA,SÃO JOSÉ DOS PINHAIS,PR,SUL,BRASIL,2940310,2974544,51780,40542
CXJ,SBCX,REGIONAL HUGO CANTERGIANI,CAXIAS DO SUL,RS,SUL,BRASIL,137414,139255,2495,1060
CZS,SBCZ,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,NORTE,BRASIL,21800,22836,423,407
DIQ,SNDV,BRIGADEIRO CABRAL,DIVINÓPOLIS,MG,SUDESTE,BRASIL,1299,1985,422,500
DOU,SBDO,DOURADOS,DOURADOS,MS,CENTRO-OESTE,BRASIL,5983,5783,113,49
EEA,SNCP,AEROPORTO REGIONAL DO PLANALTO SERRANO,CORREIA PINTO,SC,SUL,BRASIL,3123,3044,122,67
ERN,SWEI,EIRUNEPÉ,EIRUNEPÉ,AM,NORTE,BRASIL,2446,2437,170,62
FEN,SBFN,FERNANDO DE NORONHA,FERNANDO DE NORONHA,PE,NORDESTE,BRASIL,183606,184840,3925,1998
FLN,SBFL,HERCÍLIO LUZ,FLORIANÓPOLIS,SC,SUL,BRASIL,1888091,1892702,32096,18062
FOR,SBFZ,PINTO MARTINS,FORTALEZA,CE,NORDESTE,BRASIL,2748584,2742172,40413,30605
FRC,SIMK,TENENTE LUND PRESETTO,FRANCA,SP,SUDESTE,BRASIL,210,215,96,80
GEL,SBNM,SANTO ÂNGELO,SANTO ÂNGELO,RS,SUL,BRASIL,30244,29562,774,381
GGJ,SSGY,GUAÍRA,GUAÍRA,PR,SUL,BRASIL,255,295,97,98
GIG,SBGL,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,5806480,5765858,74246,92729
GNM,SNGI,GUANAMBI,GUANAMBI,BA,NORDESTE,BRASIL,17750,17089,887,470
GPB,SSGG,Tancredo Thomas de Faria,GUARAPUAVA,PR,SUL,BRASIL,4737,4574,235,129
GRU,SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GUARULHOS,SP,SUDESTE,BRASIL,14960476,14949351,128014,269745
GVR,SBGV,CORONEL ALTINO MACHADO,GOVERNADOR VALADARES,MG,SUDESTE,BRASIL,43588,42993,1968,884
GYN,SBGO,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,GO,CENTRO-OESTE,BRASIL,1920008,1907967,32053,17645
IAL,SNSS,SALINAS,SALINAS,MG,SUDESTE,BRASIL,782,863,189,139
IGU,SBFI,CATARATAS,FOZ DO IGUAÇU,PR,SUL,BRASIL,1086746,1067644,17754,8137
IMP,SBIZ,PREFEITO RENATO MOREIRA,IMPERATRIZ,MA,NORDESTE,BRASIL,167491,163649,3496,2023
IOS,SBIL,BAHIA - JORGE AMADO,ILHÉUS,BA,NORDESTE,BRASIL,292533,296912,5515,2362
IPN,SBIP,USIMINAS,SANTANA DO PARAÍSO,MG,SUDESTE,BRASIL,69408,69733,2929,1426
IRZ,SWTP,SANTA IZABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,AM,NORTE,BRASIL,70,8,32,6
ITB,SBIH,ITAITUBA,ITAITUBA,PA,NORTE,BRASIL,8574,8136,314,159
IUP,SWYN,PRAINHA,APUÍ,AM,NORTE,BRASIL,600,958,88,88
IZA,SBZM,REGIONAL DA ZONA DA MATA,GOIANÁ,MG,SUDESTE,BRASIL,67594,66759,1546,797
JAW,SNAB,ARARIPINA,ARARIPINA,PE,NORDESTE,BRASIL,361,272,95,85
JCS,SNWS,DOUTOR LÚCIO LIMA,CRATEÚS,CE,NORDESTE,BRASIL,15,12,12,8
JDO,SBJU,ORLANDO BEZERRA DE MENEZES,JUAZEIRO DO NORTE,CE,NORDESTE,BRASIL,231094,225632,3908,1752
JJD,SBJE,JERICOACORA,CRUZ,CE,NORDESTE,BRASIL,124371,125791,2379,884
JJG,SBJA,REGIONAL SUL,JAGUARUNA,SC,SUL,BRASIL,54728,52374,1401,503
JMA,SNJM,AEROPORTO ELIAS BREDER,MANHUAÇU,MG,SUDESTE,BRASIL,213,226,101,75
JOI,SBJV,LAURO CARNEIRO DE LOYOLA,JOINVILLE,SC,SUL,BRASIL,265303,269404,6110,2566
JPA,SBJP,PRESIDENTE CASTRO PINTO,SANTA RITA,PB,NORDESTE,BRASIL,899780,902692,14432,6378
JPE,SNEB,AERODROMO DE PARAGOMINAS,PARAGOMINAS,PA,NORTE,BRASIL,223,227,84,77
JPO,SNTS,PEREGRINO FILHO,PATOS,PB,NORDESTE,BRASIL,558,593,185,140
JPR,SBJI,JI-PARANÁ,JI-PARANÁ,RO,NORTE,BRASIL,11693,11688,335,170
JSB,SWBE,WALFRIDO SAMITO DE ALMEIDA,SÃO BENEDITO,CE,NORDESTE,BRASIL,8,2,5,2
JSO,SN6L,VIRGÍLIO TÁVORA,SOBRAL,CE,NORDESTE,BRASIL,2,4,2,4
JTC,SBAE,AEROPORTO ESTADUAL DE BAURU-AREALVA / MOUSSA NAKHL TOBIAS,AREALVA,SP,SUDESTE,BRASIL,34779,33716,1012,585
LBR,SWLB,LÁBREA,LÁBREA,AM,NORTE,BRASIL,221,445,76,84
LDB,SBLO,GOVERNADOR JOSÉ RICHA,LONDRINA,PR,SUL,BRASIL,350073,351116,7961,3252
LEC,SBLE,HORÁCIO DE MATTOS,LENÇÓIS,BA,NORDESTE,BRASIL,4712,4922,206,108
LHN,SNLN,AERÓDROMO MUNICIPAL DE LINHARES,LINHARES,ES,SUDESTE,BRASIL,625,702,173,145
MAB,SBMA,JOÃO CORREA DA ROCHA,MARABÁ,PA,NORTE,BRASIL,192151,184759,3778,1927
MAO,SBEG,EDUARDO GOMES,MANAUS,AM,NORTE,BRASIL,1496474,1412875,22534,19551
MBZ,SWMW,MAUÉS,MAUÉS,AM,NORTE,BRASIL,329,359,94,89
MCP,SBMQ,ALBERTO ALCOLUMBRE,MACAPÁ,AP,NORTE,BRASIL,289098,283757,5259,2901
MCZ,SBMO,ZUMBI DOS PALMARES,RIO LARGO,AL,NORDESTE,BRASIL,1369342,1359282,21947,9950
MEU,SBMD,MONTE DOURADO,ALMEIRIM,PA,NORTE,BRASIL,469,446,125,93
MGF,SBMG,SÍLVIO NAME JÚNIOR,MARINGÁ,PR,SUL,BRASIL,433570,436513,9856,4113
MII,SBML,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,SUDESTE,BRASIL,14326,14362,721,358
MNX,SBMY,MANICORÉ,MANICORÉ,AM,NORTE,BRASIL,954,1061,202,184
MOC,SBMK,MÁRIO RIBEIRO,MONTES CLAROS,MG,SUDESTE,BRASIL,175198,173331,4994,2368
MUU,SIRI,BARRA GRANDE,MARAÚ,BA,NORDESTE,BRASIL,228,216,37,37
MVF,SBMS,DIX-SEPT ROSADO,MOSSORÓ,RN,NORDESTE,BRASIL,1676,1416,70,35
MXQ,SNCL,LORENZO,CAIRU,BA,NORDESTE,BRASIL,3884,3291,549,531
NAT,SBSG,GOVERNADOR ALUIZIO ALVES,SÃO GONÇALO DO AMARANTE,RN,NORDESTE,BRASIL,1108755,1103720,18700,8778
NSR,SWKQ,SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO,SÃO RAIMUNDO NONATO,PI,NORDESTE,BRASIL,1214,1099,58,29
NVT,SBNF,MINISTRO VICTOR KONDER,NAVEGANTES,SC,SUL,BRASIL,1112298,1114748,20066,8298
OAL,SSKW,CACOAL,CACOAL,RO,NORTE,BRASIL,11653,11740,242,102
OIA,SDOW,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,NORTE,BRASIL,362,415,128,108
OPP,SNSM,SALINÓPOLIS,SALINÓPOLIS,PA,NORTE,BRASIL,71,62,32,30
OPS,SBSI,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,MT,CENTRO-OESTE,BRASIL,229165,230482,4211,1858
PBA,SDLO,AEROPORTO FÁBIO PERINI,CAIRU,BA,NORDESTE,BRASIL,446,492,74,76
PET,SBPK,PELOTAS,PELOTAS,RS,SUL,BRASIL,46568,46725,1191,558
PFB,SBPF,LAURO KURTZ,PASSO FUNDO,RS,SUL,BRASIL,120025,121744,2315,894
PGZ,SBPG,COMANDANTE ANTONIO AMILTON BERALDO,PONTA GROSSA,PR,SUL,BRASIL,901,863,66,32
PHB,SBPB,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,NORDESTE,BRASIL,4006,4456,130,87
PIN,SWPI,JÚLIO BÉLEM,PARINTINS,AM,NORTE,BRASIL,14683,13179,485,280
PMG,SBPP,PONTA PORÃ,PONTA PORÃ,MS,CENTRO-OESTE,BRASIL,14610,14292,357,172
PMW,SBPJ,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,NORTE,BRASIL,360791,360021,6650,3020
PNZ,SBPL,SENADOR NILO COELHO,PETROLINA,PE,NORDESTE,BRASIL,235360,235288,4614,1892
POA,SBPA,SALGADO FILHO,PORTO ALEGRE,RS,SUL,BRASIL,3489397,3513142,58209,34592
POJ,SNPD,PATOS DE MINAS,PATOS DE MINAS,MG,SUDESTE,BRASIL,6024,6022,423,227
PPB,SBDN,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,SP,SUDESTE,BRASIL,127101,127548,2634,1394
PTO,SBPO,JUVENAL LOUREIRO CARDOSO,PATO BRANCO,PR,SUL,BRASIL,17414,16804,719,351
PTQ,SNMZ,PORTO DE MOZ,PORTO DE MOZ,PA,NORTE,BRASIL,431,377,95,87
PVH,SBPV,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,NORTE,BRASIL,302879,306686,5666,3239
PYT,SNZR,PARACATU,PARACATU,MG,SUDESTE,BRASIL,225,201,84,71
QGP,SNGN,GARANHUNS,GARANHUNS,PE,NORDESTE,BRASIL,103,93,59,51
QIG,SNIG,IGUATU,IGUATU,CE,NORDESTE,BRASIL,13,0,7,0
RAO,SBRP,LEITE LOPES,RIBEIRÃO PRETO,SP,SUDESTE,BRASIL,350468,346723,8169,4657
RBB,SWBR,BORBA,BORBA,AM,NORTE,BRASIL,149,195,56,72
RBR,SBRB,PLÁCIDO DE CASTRO,RIO BRANCO,AC,NORTE,BRASIL,184605,180007,3865,2084
REC,SBRF,GUARARAPES - GILBERTO FREYRE,RECIFE,PE,NORDESTE,BRASIL,4587135,4573387,63732,64906
RIA,SBSM,SANTA MARIA,SANTA MARIA,RS,SUL,BRASIL,15421,14256,557,303
ROO,SBRD,RONDONÓPOLIS,RONDONÓPOLIS,MT,CENTRO-OESTE,BRASIL,24756,25338,605,297
RPU,SBUY,URUCU,COARI,AM,NORTE,BRASIL,252,282,9,9
RRJ,SBJR,JACAREPAGUÁ,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,8871,10033,2730,1718
RVD,SWLC,GENERAL LEITE DE CASTRO,RIO VERDE,GO,CENTRO-OESTE,BRASIL,2833,2753,131,64
SDU,SBRJ,SANTOS DUMONT,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,3054448,3103948,59320,32692
SET,SNHS,SANTA MAGALHÃES,SERRA TALHADA,PE,NORDESTE,BRASIL,303,340,117,92
SJK,SBSJ,PROFESSOR URBANO ERNESTO STUMPF,SÃO JOSÉ DOS CAMPOS,SP,SUDESTE,BRASIL,17778,20290,355,177
SJL,SBUA,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,NORTE,BRASIL,11666,11692,276,145
SJP,SBSR,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,SUDESTE,BRASIL,455084,449333,10190,4712
SLZ,SBSL,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,NORDESTE,BRASIL,887245,894093,14294,8476
SMT,SBSO,REGIONAL DE SORRISO ADOLINO BEDIN,SORRISO,MT,CENTRO-OESTE,BRASIL,26526,26022,660,344
SSA,SBSV,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,NORDESTE,BRASIL,3559624,3568747,55702,44894
STM,SBSN,MAESTRO WILSON FONSECA,SANTARÉM,PA,NORTE,BRASIL,249484,236425,4580,3086
TBT,SBTT,TABATINGA,TABATINGA,AM,NORTE,BRASIL,31440,36176,918,593
TEC,SSVL,TELÊMACO BORBA (SBTL*),TELÊMACO BORBA,PR,SUL,BRASIL,76,96,43,43
TFF,SBTF,TEFÉ,TEFÉ,AM,NORTE,BRASIL,13036,13642,392,268
TFL,SNTO,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,SUDESTE,BRASIL,777,949,241,181
THE,SBTE,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,NORDESTE,BRASIL,541989,541047,9425,4512
TJL,SBTG,TRÊS LAGOAS,TRÊS LAGOAS,MS,CENTRO-OESTE,BRASIL,1494,1653,77,37
TMT,SBTB,TROMBETAS,ORIXIMINÁ,PA,NORTE,BRASIL,4076,3912,349,229
TUR,SBTU,TUCURUÍ,TUCURUÍ,PA,NORTE,BRASIL,220,254,104,89
UBA,SBUR,MÁRIO DE ALMEIDA FRANCO,UBERABA,MG,SUDESTE,BRASIL,37331,37848,1287,666
UDI,SBUL,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,SUDESTE,BRASIL,525630,522468,11615,5467
UMU,SSUM,ORLANDO DE CARVALHO,UMUARAMA,PR,SUL,BRASIL,508,507,154,118
UNA,SBTC,HOTEL TRANSAMÉRICA(AERODROMO PRIVADO),UNA,BA,NORDESTE,BRASIL,12339,12167,161,100
URG,SBUG,RUBEM BERTA,URUGUAIANA,RS,SUL,BRASIL,9410,9560,343,185
UVI,SSUV,JOSÉ CLETO,UNIÃO DA VITÓRIA,PR,SUL,BRASIL,68,67,45,36
VAG,SBVG,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,SUDESTE,BRASIL,366,544,149,132
VCP,SBKP,VIRACOPOS,CAMPINAS,SP,SUDESTE,BRASIL,5856537,5860878,72282,128734
VDC,SBVC,GLAUBER DE ANDRADE ROCHA,VITÓRIA DA CONQUISTA,BA,NORDESTE,BRASIL,189511,189319,4186,1772
VIX,SBVT,EURICO DE AGUIAR SALLES,VITÓRIA,ES,SUDESTE,BRASIL,1723501,1716597,32068,15801
XAP,SBCH,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,SUL,BRASIL,314104,321925,6801,2757
