codigo,nome,municipio,uf,regiao,grau,grau_ponderado_passageiros,degree_centrality,betweenness_centrality,closeness_centrality,score_criticidade,no_maior_componente
VCP,VIRACOPOS,CAMPINAS,SP,SUDESTE,79,11717415,0.512987012987013,0.28593936126977304,0.6695652173913044,0.5814955135004483,True
CNF,TANCREDO NEVES,CONFINS,MG,SUDESTE,64,12216388,0.4155844155844156,0.21620296855991625,0.6285714285714286,0.5265900544840956,True
GRU,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GUARULHOS,SP,SUDESTE,62,29909827,0.4025974025974026,0.1082458942786767,0.6234817813765182,0.5036144322920264,True
REC,GUARARAPES - GILBERTO FREYRE,RECIFE,PE,NORDESTE,47,9160522,0.3051948051948052,0.12625094368388842,0.5833333333333334,0.45423497328834034,True
CGH,CONGONHAS,SÃO PAULO,SP,SUDESTE,48,24493686,0.3116883116883117,0.04201636596846722,0.5422535211267606,0.447366428517084,True
BSB,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,CENTRO-OESTE,41,15626199,0.2662337662337662,0.04678716060122059,0.5746268656716418,0.42510152013398,True
MAO,EDUARDO GOMES,MANAUS,AM,NORTE,32,2909349,0.2077922077922078,0.1895821883428029,0.5403508771929825,0.42066737337472393,True
GIG,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM,RIO DE JANEIRO,RJ,SUDESTE,38,11572338,0.24675324675324675,0.031109169763506733,0.5682656826568265,0.4075662739699455,True
SSA,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,NORDESTE,33,7128371,0.21428571428571427,0.05482926563550301,0.5238095238095238,0.39526772458188403,True
FOR,PINTO MARTINS,FORTALEZA,CE,NORDESTE,29,5490756,0.18831168831168832,0.05961124510126751,0.5365853658536586,0.38314927028029633,True
BEL,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,NORTE,27,3657060,0.17532467532467533,0.09545646552832855,0.532871972318339,0.382898848754047,True
CWB,AFONSO PENA,SÃO JOSÉ DOS PINHAIS,PR,SUL,27,5914854,0.17532467532467533,0.059951920375155,0.49517684887459806,0.38037455395229464,True
CGB,MARECHAL RONDON,VÁRZEA GRANDE,MT,CENTRO-OESTE,24,2464794,0.15584415584415584,0.04220912338905441,0.4967741935483871,0.35101597204592466,True
POA,SALGADO FILHO,PORTO ALEGRE,RS,SUL,16,7002539,0.1038961038961039,0.01615598516440193,0.47530864197530864,0.3452352151313327,True
MCZ,ZUMBI DOS PALMARES,RIO LARGO,AL,NORDESTE,24,2728624,0.15584415584415584,0.006021351878766456,0.4888888888888889,0.34092253388978366,True
VIX,EURICO DE AGUIAR SALLES,VITÓRIA,ES,SUDESTE,20,3440098,0.12987012987012986,0.0037794565881172234,0.5202702702702703,0.33600401081577463,True
GYN,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,GO,CENTRO-OESTE,19,3827975,0.12337662337662338,0.002866011902107322,0.5099337748344371,0.33560384375538493,True
