origem,destino,passageiros,passageiros_pagos,passageiros_gratis,voos,empresas
CGH,SDU,3682638,3607310,75328,50559,AD|G3|JJ
BSB,CGH,2199288,2144614,54674,31588,AD|G3|JJ
CGH,CNF,1927648,1881660,45988,26039,AD|G3|JJ
CGH,POA,1904071,1857760,46311,22981,AD|G3|JJ
GRU,REC,1724206,1697407,26799,20310,AD|G3|JJ
GRU,POA,1697328,1657663,39665,21700,AD|G3|JJ
CGH,CWB,1558940,1520953,37987,21813,AD|G3|JJ
CGH,SSA,1453102,1432016,21086,16459,AD|G3|JJ
GIG,GRU,1448930,1401382,47548,22853,AD|G3|JJ
CNF,GRU,1375606,1344187,31419,20413,AD|G3|JJ
CWB,GRU,1368569,1332490,36079,18900,AD|G3|JJ
CGH,FLN,1294045,1267934,26111,14975,2Z|AD|G3|JJ
BSB,GRU,1236321,1198151,38170,20354,AD|G3|JJ
FOR,GRU,1196187,1176584,19603,15242,AD|G3|JJ
CGH,REC,1118955,1096305,22650,12808,AD|G3|JJ
GRU,SSA,1097325,1083957,13368,14541,G3|JJ
FLN,GRU,1006680,986405,20275,12859,AD|G3|JJ
GIG,POA,950871,937073,13798,12419,AD|G3|JJ
CGH,GYN,933870,919340,14530,10111,G3|JJ
GRU,MCZ,921944,907568,14376,10736,G3|JJ
GRU,VIX,885434,874376,11058,11698,AD|G3|JJ
CGB,GRU,881163,872740,8423,11581,AD|G3|JJ
GIG,REC,874870,863954,10916,11057,AD|G3|JJ
BSB,SDU,868498,856026,12472,13657,G3|JJ
CGH,NVT,865998,851127,14871,9421,AD|G3|JJ
GRU,GYN,845482,831954,13528,10370,G3|JJ
GRU,IGU,816183,802658,13525,9585,AD|G3|JJ
GIG,SSA,810235,801827,8408,11454,AD|G3|JJ
BSB,CNF,773917,756650,17267,10836,AD|G3|JJ
BSB,REC,763790,754103,9687,9392,AD|G3|JJ
GRU,NAT,760059,748336,11723,8886,G3|JJ
BEL,GRU,754456,744972,9484,10114,AD|G3|JJ
REC,VCP,721620,704490,17130,9594,AD|G3|JJ
GIG,VIX,707786,701601,6185,11172,AD|G3|JJ
GRU,MAO,698654,689737,8917,8730,G3|JJ
CNF,GIG,674290,659128,15162,11050,2F|AD|G3
FOR,GIG,671410,663497,7913,8919,G3|JJ
CGR,GRU,668810,659387,9423,8268,G3|JJ
GRU,NVT,659320,648263,11057,8786,G3|JJ
BSB,GIG,640329,631290,9039,10841,AD|G3|JJ
BSB,SSA,632353,623746,8607,8582,AD|G3|JJ
BSB,VCP,630244,616124,14120,9696,AD|G3|JJ
CGH,VIX,629186,618868,10318,7062,AD|G3|JJ
CNF,VCP,628016,608288,19728,13166,AD
POA,VCP,612295,586626,25669,9140,AD|G3|JJ
CGH,FOR,600921,590200,10721,6961,AD|G3|JJ
AJU,GRU,591922,585549,6373,6834,G3|JJ
CWB,GIG,588606,580806,7800,8438,AD|G3|JJ
GRU,JPA,588164,577663,10501,6650,AD|G3|JJ
BPS,GRU,582540,575542,6998,7495,AD|G3|JJ
CNF,REC,549092,540368,8724,8475,AD
SSA,VCP,543264,534142,9122,7461,AD|G3|JJ
BSB,FOR,535522,524898,10624,7042,G3|JJ
GRU,SLZ,531690,526965,4725,6270,G3|JJ
CNF,SSA,526131,518918,7213,8534,AD|G3
GIG,VCP,508653,494882,13771,8354,2F|AD|G3
SDU,VCP,483435,465776,17659,9256,AD|G3
BPS,CGH,481929,476184,5745,4901,AD|G3|JJ
CWB,VCP,467533,452974,14559,9521,AD
BSB,POA,447079,437911,9168,5468,G3|JJ
FOR,REC,438597,431280,7317,6613,AD|JJ
BPS,CNF,429968,423953,6015,5066,AD|G3
BSB,MAO,422839,416049,6790,5700,G3|JJ
BSB,CWB,403328,396509,6819,5451,AD|G3|JJ
GYN,VCP,402309,395078,7231,6264,AD
REC,SSA,400194,391207,8987,7149,AD|G3
GRU,MGF,392200,385713,6487,4793,G3|JJ
GIG,IGU,376634,371578,5056,4649,G3|JJ
CGB,VCP,375959,371604,4355,6201,AD|JJ
BEL,BSB,373744,366158,7586,5471,AD|G3|JJ
FLN,GIG,372940,367852,5088,5457,AD|G3|JJ
CWB,POA,372146,368594,3552,6281,AD|JJ
BSB,GYN,357162,348348,8814,4637,AD|G3|JJ
CGH,GIG,355769,344992,10777,5601,2Z|AD|G3|JJ
GRU,THE,336984,333443,3541,4437,G3|JJ
CGH,IGU,328566,322948,5618,3496,AD|G3|JJ
FLN,VCP,325413,314421,10992,5640,AD|G3|JJ
BSB,JPA,324321,318550,5771,3554,G3|JJ
CGH,MCZ,323262,318312,4950,3125,AD|G3|JJ
BSB,MCZ,317722,313142,4580,3436,G3|JJ
CNF,SDU,317718,310501,7217,5693,AD|JJ
GRU,XAP,313542,311461,2081,4758,G3|JJ
BSB,CGB,310464,306610,3854,3735,AD|G3|JJ
BEL,MCP,309858,307663,2195,3699,AD|G3|JJ
MAO,VCP,305721,299599,6122,4361,AD
BSB,SLZ,304075,299658,4417,3580,AD|G3|JJ
GRU,JDO,303794,299893,3901,3477,G3|JJ
VCP,VIX,299675,294130,5545,4320,AD
GRU,PNZ,295680,293120,2560,3736,G3|JJ
NVT,VCP,293743,284515,9228,5073,AD
BEL,FOR,292744,290541,2203,3975,AD|G3|JJ
CGH,SJP,291668,280793,10875,3280,G3|JJ
GRU,LDB,285578,280490,5088,3834,JJ
BSB,NAT,284176,280126,4050,3221,AD|G3|JJ
BSB,THE,283057,279380,3677,3592,AD|G3|JJ
GRU,SDU,282312,276623,5689,4957,AD|G3|JJ
BEL,VCP,276758,271288,5470,4454,AD
CNF,GYN,274772,270978,3794,4822,AD
CGB,CGH,274031,271229,2802,2908,G3|JJ
FOR,SSA,273380,269604,3776,4047,AD|G3|JJ
GRU,VDC,272793,270102,2691,3494,G3|JJ
FEN,REC,270737,261221,9516,4225,2Z|7M|AD|G3|JJ
CGR,VCP,270188,265079,5109,4003,AD|JJ
GRU,IOS,268426,264335,4091,3635,G3|JJ
CNF,VIX,264697,258500,6197,4645,AD|JJ
GRU,PMW,262049,260809,1240,3471,G3|JJ
BEL,CNF,258633,255845,2788,4838,AD
GYN,REC,257507,256117,1390,3149,AD
FOR,VCP,254791,249081,5710,2716,AD|JJ
GRU,UDI,248218,244403,3815,3465,AD|JJ
CGH,UDI,244282,238541,5741,2623,G3|JJ
CGH,RAO,239035,230619,8416,3068,2Z|G3|JJ
CAC,GRU,235891,233095,2796,3206,G3|JJ
BEL,STM,232555,230451,2104,2893,AD|G3
BSB,BVB,230797,225889,4908,2497,G3|JJ
CGH,CGR,230471,226153,4318,2455,G3|JJ
CNF,POA,230451,226047,4404,2967,AD|JJ
GIG,NVT,228578,226065,2513,2804,AD|G3
GIG,MCZ,225909,222911,2998,2853,AD|G3
BSB,FLN,224097,221405,2692,3065,G3|JJ
BSB,CGR,223196,221725,1471,2400,JJ
GIG,JPA,220084,216734,3350,2522,G3|JJ
BEL,MAO,218116,216860,1256,3047,AD|JJ
GIG,NAT,217621,214709,2912,2872,G3|JJ
CWB,IGU,217544,214812,2732,3205,AD|JJ
BSB,PVH,214281,207794,6487,2679,G3|JJ
CGH,JOI,210209,207034,3175,2519,2Z|G3|JJ
GRU,JJD,209456,207210,2246,2670,G3|JJ
CNF,MCZ,201571,198847,2724,2143,AD
IGU,VCP,200136,193795,6341,2429,AD|G3
FOR,MAO,199168,198590,578,1972,JJ
CGH,LDB,196367,191509,4858,2167,G3|JJ
CGH,MGF,196055,190463,5592,2297,G3|JJ
MCZ,VCP,195893,192017,3876,2068,AD|G3|JJ
BEL,REC,191878,189486,2392,3097,AD
BSB,RBR,191745,188671,3074,2430,G3|JJ
BSB,PMW,191115,187486,3629,2331,G3|JJ
BSB,VIX,189964,188449,1515,2530,G3|JJ
CNF,FOR,189244,187298,1946,2235,AD|JJ
BPS,VCP,188958,185795,3163,2080,AD|G3|JJ
CNF,CWB,188762,185389,3373,3417,AD
GRU,OPS,187383,184227,3156,2595,G3|JJ
GRU,SJP,182130,178193,3937,2545,JJ
CNF,NAT,172320,170388,1932,1807,AD
RAO,VCP,168554,163315,5239,4952,AD
GRU,JOI,167257,165778,1479,2540,JJ
SJP,VCP,165856,159977,5879,5034,AD
GIG,GYN,161038,158464,2574,2114,AD|G3
CGH,JPA,160605,158195,2410,1643,AD|G3|JJ
REC,SLZ,157341,156000,1341,2348,AD
CNF,UDI,155577,153083,2494,3962,AD
BSB,MAB,155199,153373,1826,2146,AD|G3|JJ
UDI,VCP,152712,149835,2877,4117,AD
CNF,MOC,148699,146432,2267,4292,AD
CGB,CNF,140986,139914,1072,2433,AD
BPS,GIG,139127,138358,769,1878,AD|G3|JJ
BSB,MCP,136181,134850,1331,1807,G3|JJ
CAC,VCP,133944,131737,2207,2172,AD
FOR,SLZ,131209,130741,468,1640,AD|JJ
GIG,MAO,128532,126743,1789,1859,AD|G3|JJ
CGH,NAT,128186,126473,1713,1389,AD|G3|JJ
VCP,XAP,127799,126219,1580,1979,AD
MGF,VCP,127269,123986,3283,3426,AD
AJU,GIG,126136,124911,1225,1624,G3
GRU,PFB,124684,123564,1120,1778,G3|JJ
MAO,REC,122077,120372,1705,1461,AD
GRU,PVH,120994,120220,774,1658,JJ
NAT,VCP,119575,117354,2221,1260,AD|G3
CNF,FLN,119382,117340,2042,1920,AD
CNF,IPN,119216,116781,2435,3799,AD
CKS,CNF,115116,114151,965,1665,AD|G3
NAT,REC,108249,105818,2431,2933,AD
POA,REC,108116,106139,1977,1587,AD
BEL,GIG,107307,105253,2054,1390,AD|G3|JJ
MAO,STM,106954,105794,1160,1995,AD|G3
AJU,BSB,106595,106253,342,1239,AD|G3|JJ
LDB,VCP,105760,103229,2531,2820,AD
GYN,SSA,105670,104039,1631,1385,AD|G3
BSB,STM,105433,103688,1745,1974,G3|JJ
GRU,IMP,105259,104798,461,1807,JJ
JOI,VCP,105223,103130,2093,2764,AD
BEL,MAB,105031,104337,694,1845,AD
FOR,THE,104458,104085,373,1515,JJ
CNF,MAO,104240,103137,1103,1357,AD
SLZ,SSA,103198,101157,2041,1347,G3
CNF,JPA,102928,101549,1379,1036,AD
JPA,VCP,101876,99349,2527,1125,AD|JJ
BPS,BSB,101494,100875,619,1045,AD|JJ
FOR,NAT,100572,99919,653,1331,AD|JJ
MAO,PVH,100118,98324,1794,1703,2F|AD|G3
CNF,PVH,100090,99196,894,1264,AD
GRU,MOC,99648,98951,697,1560,JJ
THE,VCP,98880,97510,1370,1126,AD
CGH,PPB,97825,95548,2277,1118,2Z|G3
SLZ,VCP,94802,93422,1380,1187,AD
CNF,SLZ,94515,93587,928,1118,AD
OPS,VCP,94131,93474,657,1049,AD
PFB,VCP,93821,92412,1409,1112,AD
MCZ,SSA,93440,91542,1898,1234,AD|G3|JJ
AJU,SSA,93306,91365,1941,2080,AD|G3
REC,VIX,93075,92457,618,1118,AD
PPB,VCP,93015,90914,2101,2233,AD
AJU,CNF,92882,92129,753,1425,AD
BEL,SLZ,92755,92077,678,1549,AD
CNF,IOS,92537,91714,823,1282,AD
GRU,JJG,92286,91421,865,1580,JJ
SSA,VIX,92171,91128,1043,1272,G3
JPA,SSA,91519,89677,1842,1138,G3
NAT,SSA,90468,88782,1686,1222,AD|G3
IOS,VCP,90010,89092,918,1061,AD
CGH,IOS,89635,88838,797,1010,AD|G3|JJ
MCZ,REC,88696,86208,2488,2482,AD
