passo,aeroporto_removido,removidos_acumulados,qtd_removidos,aeroportos_restantes,componentes_conectados,maior_componente,fracao_maior_componente,aeroportos_isolados,lista_aeroportos_isolados,volume_passageiros_restante,fracao_volume_restante,score_no_passo
1,VCP,VCP,1,154,8,146,0.9419354838709677,6,AQA|CAW|MII|PGZ|ROO|TJL,82118989,0.8841894968903053,0.5193623125936258
2,CNF,VCP|CNF,2,153,18,135,0.8709677419354839,16,AQA|CAW|CFB|DIQ|GVR|IAL|JMA|LHN|MII|PGZ|PYT|ROO|RRJ|TFL|TJL|VAG,71520565,0.7700744146358205,0.466725180261019
3,GRU,VCP|CNF|GRU,3,152,21,130,0.8387096774193549,18,AQA|CAW|CFB|DIQ|DOU|GVR|IAL|JJG|JMA|LHN|MII|PGZ|PYT|ROO|RRJ|TFL|TJL|VAG,45354085,0.48833535442174214,0.4527140880118079
4,CGH,VCP|CNF|GRU|CGH,4,151,27,123,0.7935483870967742,24,AQA|BYO|CAW|CFB|CLV|DIQ|DOU|EEA|GVR|IAL|IZA|JJG|JMA|LHN|MII|PFB|PGZ|PYT|ROO|RRJ|TFL|TJL|UNA|VAG,24727368,0.26624388996485865,0.39970299069877946
5,REC,VCP|CNF|GRU|CGH|REC,5,150,32,114,0.7354838709677419,26,AQA|BYO|CAW|CFB|CLV|DIQ|DOU|EEA|GVR|IAL|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RRJ|TFL|TJL|UNA|VAG,20382972,0.21946701947108946,0.3901002828215063
6,BSB,VCP|CNF|GRU|CGH|REC|BSB,6,149,32,113,0.7290322580645161,26,AQA|BYO|CAW|CFB|CLV|DIQ|DOU|EEA|GVR|IAL|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RRJ|TFL|TJL|UNA|VAG,11603086,0.12493245347571127,0.37296082723438334
7,GIG,VCP|CNF|GRU|CGH|REC|BSB|GIG,7,148,33,111,0.7161290322580646,27,AQA|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GVR|IAL|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RRJ|TFL|TJL|UNA|VAG,5439274,0.0585656131434901,0.374127641527111
8,MAO,VCP|CNF|GRU|CGH|REC|BSB|GIG|MAO,8,147,40,99,0.6387096774193548,30,AQA|BAZ|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GVR|IAL|ITB|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,4541029,0.04889405234731137,0.3748328634482416
9,SSA,VCP|CNF|GRU|CGH|REC|BSB|GIG|MAO|SSA,9,146,43,93,0.6,32,AQA|BAZ|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GNM|GVR|IAL|ITB|IZA|JJG|JMA|LEC|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,3433028,0.036964012064619196,0.3519101496494053
10,BEL,VCP|CNF|GRU|CGH|REC|BSB|GIG|MAO|SSA|BEL,10,145,47,82,0.5290322580645161,33,AQA|BAZ|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GNM|GVR|IAL|ITB|IZA|JJG|JMA|LEC|LHN|MII|MVF|NSR|OPP|PFB|PGZ|PYT|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,2251588,0.02424324124258579,0.3426054690062311
