passo,aeroporto_removido,removidos_acumulados,qtd_removidos,aeroportos_restantes,componentes_conectados,maior_componente,fracao_maior_componente,aeroportos_isolados,lista_aeroportos_isolados,volume_passageiros_restante,fracao_volume_restante
1,VCP,VCP,1,154,8,146,0.9419354838709677,6,AQA|CAW|MII|PGZ|ROO|TJL,89156176,0.8838406079942173
2,CNF,VCP|CNF,2,153,18,135,0.8709677419354839,16,AQA|CAW|CFB|DIQ|GVR|IAL|JMA|LHN|MII|PGZ|PYT|ROO|RRJ|TFL|TJL|VAG,77629410,0.7695711952992731
3,GRU,VCP|CNF|GRU,3,152,21,130,0.8387096774193549,18,AQA|CAW|CFB|DIQ|DOU|GVR|IAL|JJG|JMA|LHN|MII|PGZ|PYT|ROO|RRJ|TFL|TJL|VAG,49216855,0.4879062449556297
4,REC,VCP|CNF|GRU|REC,4,151,26,121,0.7806451612903226,20,AQA|CAW|CFB|DIQ|DOU|GVR|IAL|JJG|JMA|LHN|MII|MVF|NSR|PGZ|PYT|ROO|RRJ|TFL|TJL|VAG,43299148,0.4292416634597652
5,CGH,VCP|CNF|GRU|REC|CGH,5,150,32,114,0.7354838709677419,26,AQA|BYO|CAW|CFB|CLV|DIQ|DOU|EEA|GVR|IAL|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RRJ|TFL|TJL|UNA|VAG,22107179,0.21915725197093458
6,BSB,VCP|CNF|GRU|REC|CGH|BSB,6,149,32,113,0.7290322580645161,26,AQA|BYO|CAW|CFB|CLV|DIQ|DOU|EEA|GVR|IAL|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RRJ|TFL|TJL|UNA|VAG,12575767,0.12466857653555725
7,MAO,VCP|CNF|GRU|REC|CGH|BSB|MAO,7,148,39,101,0.6516129032258065,29,AQA|BAZ|BYO|CAW|CFB|CLV|DIQ|DOU|EEA|GVR|IAL|ITB|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,11462652,0.11363382513070244
8,GIG,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG,8,147,40,99,0.6387096774193548,30,AQA|BAZ|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GVR|IAL|ITB|IZA|JJG|JMA|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,4932272,0.04889557267768925
9,SSA,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA,9,146,43,93,0.6,32,AQA|BAZ|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GNM|GVR|IAL|ITB|IZA|JJG|JMA|LEC|LHN|MII|MVF|NSR|PFB|PGZ|PYT|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,3735572,0.03703220994680362
10,FOR,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA|FOR,10,145,48,87,0.5612903225806452,37,AQA|BAZ|BYO|CAW|CFB|CLV|CXJ|DIQ|DOU|EEA|GNM|GVR|IAL|ITB|IZA|JCS|JDO|JJG|JMA|JSB|JSO|LEC|LHN|MII|MVF|NSR|PFB|PGZ|PYT|QIG|ROO|RPU|RRJ|TFL|TJL|UNA|VAG,2964018,0.02938348848907342
