passo,aeroporto_removido,alpha,aeroportos_removidos,removidos_acumulados,aeroportos_saturados,lista_saturados,maior_componente,fracao_maior_componente,passageiros_nao_realocados,fracao_demanda_nao_realocada,passageiro_km_realocacao
1,VCP,0.2,1,VCP,10,GRU|CGH|SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP,146,0.9419354838709677,0,0.0,1176531256
2,CNF,0.2,2,VCP|CNF,54,GRU|CGH|SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|DIQ|IPN|JMA|GVR|IZA|POJ|AAX|TFL|MOC|CAW|GIG|SDU|RRJ|VIX|PYT|LHN|CFB|UBA|IAL|UDI|CLV|BSB|GNM|VDC|BPS|GYN|ARU|UNA|IOS|RVD|MUU|TJL|PPB|LEC|BRA|CWB|LDB|TEC|PBA|MXQ|JOI|PGZ|MGF|NVT,135,0.8709677419354839,0,0.0,8450991120
3,GRU,0.2,3,VCP|CNF|GRU,151,CGH|SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|GIG|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|IPN|JMA|GVR|TFL|MOC|CAW|VIX|PYT|LHN|IAL|CLV|BSB|GNM|VDC|BPS|GYN|UNA|IOS|RVD|MUU|LEC|BRA|PBA|MXQ|SSA|BPG|FLN|UMU|EEA|CGR|JJG|PMW|CAC|PTO|GGJ|DOU|NSR|ROO|PNZ|AJU|XAP|PMG|IGU|PFB|CXJ|BYO|CGB|POA|JAW|GEL|MCZ|SET|QGP|CMG|AUX|JDO|SMT|RIA|OPS|CAU|CJZ|QIG|PET|JPO|URG|AFL|BVH|OIA|CKS|IMP|AIR|MAB|OAL|THE|REC|CPV|JCS|JPR|JPA|TUR|JSB|MVF|JPE|JSO|NAT|IUP|ATM|SLZ|BRB|PHB|FOR|ITB|JJD|BVS|BEL|PVH|PTQ|STM|MNX|OPP|MBZ|RBB|PIN|MEU|TMT|MCP|FEN|LBR|MAO|RBR|CIZ|RPU|TFF|BAZ|ERN|IRZ|TBT|BVB|CZS|SJL,130,0.8387096774193549,24263018,0.12026446842761847,28253218603
4,REC,0.2,4,VCP|CNF|GRU|REC,150,CGH|SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|GIG|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|IPN|JMA|GVR|TFL|MOC|CAW|VIX|PYT|LHN|IAL|CLV|BSB|GNM|VDC|BPS|GYN|UNA|IOS|RVD|MUU|LEC|BRA|PBA|MXQ|SSA|BPG|FLN|UMU|EEA|CGR|JJG|PMW|CAC|PTO|GGJ|DOU|NSR|ROO|PNZ|AJU|XAP|PMG|IGU|PFB|CXJ|BYO|CGB|POA|JAW|GEL|MCZ|SET|QGP|CMG|AUX|JDO|SMT|RIA|OPS|CAU|CJZ|QIG|PET|JPO|IMP|OIA|THE|CPV|CKS|JCS|MAB|JPA|AFL|URG|MVF|JSB|BVH|AIR|OAL|JPR|TUR|JPE|JSO|NAT|IUP|ATM|SLZ|BRB|PHB|FOR|ITB|JJD|BVS|BEL|PVH|PTQ|STM|MNX|OPP|MBZ|RBB|PIN|MEU|TMT|MCP|FEN|LBR|MAO|RBR|CIZ|RPU|TFF|BAZ|ERN|IRZ|TBT|BVB|CZS|SJL,121,0.7806451612903226,35255644,0.17475160570024711,24442226659
5,CGH,0.2,5,VCP|CNF|GRU|REC|CGH,149,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|GIG|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|TFL|LHN|IAL|BSB|GNM|VDC|BPS|UNA|IOS|MUU|LEC|BRA|PBA|MXQ|SSA|BPG|CGR|PMW|DOU|NSR|ROO|PNZ|AJU|PMG|IGU|CXJ|BYO|CGB|POA|JAW|GEL|MCZ|SET|QGP|CMG|AUX|JDO|SMT|RIA|OPS|CAU|CJZ|QIG|PET|JPO|IMP|OIA|THE|CPV|CKS|JCS|MAB|JPA|AFL|URG|MVF|JSB|NAT|JSO|FOR|TUR|PHB|BRB|BVH|JPE|SLZ|JJD|AIR|ATM|OAL|BEL|BVS|OPP|JPR|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|MAO|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,114,0.7354838709677419,64648067,0.32044099233068846,23370862241
6,BSB,0.2,6,VCP|CNF|GRU|REC|CGH|BSB,148,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|GIG|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|UNA|IOS|MUU|LEC|BRA|PBA|MXQ|SSA|PMW|NSR|PNZ|AJU|CGB|JAW|MCZ|SET|QGP|CMG|AUX|JDO|SMT|OPS|CAU|CJZ|QIG|JPO|IMP|OIA|THE|CPV|CKS|JCS|MAB|JPA|AFL|URG|MVF|JSB|NAT|JSO|FOR|TUR|PHB|BRB|BVH|JPE|SLZ|JJD|AIR|ATM|OAL|BEL|BVS|OPP|JPR|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|MAO|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,113,0.7290322580645161,83399506,0.41338622514192047,20175880298
7,MAO,0.2,7,VCP|CNF|GRU|REC|CGH|BSB|MAO,147,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|GIG|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|UNA|IOS|MUU|LEC|BRA|PBA|MXQ|SSA|PMW|NSR|PNZ|AJU|CGB|JAW|MCZ|SET|QGP|CMG|AUX|JDO|SMT|OPS|CAU|CJZ|QIG|JPO|IMP|OIA|THE|CPV|CKS|JCS|MAB|JPA|AFL|URG|MVF|JSB|NAT|JSO|FOR|TUR|PHB|BRB|BVH|JPE|SLZ|JJD|AIR|ATM|OAL|BEL|BVS|OPP|JPR|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,101,0.6516129032258065,86890725,0.4306911449201804,18698245876
8,GIG,0.2,8,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG,146,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|CMG|UNA|BRA|URG|IOS|CGB|MUU|LEC|PBA|MXQ|PMW|SSA|SMT|NSR|PNZ|AJU|JAW|MCZ|SET|QGP|AUX|JDO|OPS|CAU|CJZ|QIG|JPO|IMP|OIA|THE|CPV|CKS|JCS|MAB|JPA|AFL|MVF|JSB|NAT|JSO|FOR|TUR|PHB|BRB|BVH|JPE|SLZ|JJD|AIR|ATM|OAL|BEL|BVS|OPP|JPR|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,99,0.6387096774193548,100777530,0.4995238565463581,18540229647
9,SSA,0.2,9,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA,145,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|CMG|UNA|BRA|URG|IOS|CGB|MUU|LEC|PBA|MXQ|PMW|SMT|OPS|NSR|PNZ|AJU|AFL|AUX|BVH|JAW|OIA|CKS|SET|MCZ|QGP|AIR|IMP|JDO|MAB|OAL|CJZ|CAU|QIG|THE|JPR|JPO|JCS|CPV|JPA|MVF|JSB|NAT|JSO|FOR|TUR|PHB|BRB|JPE|SLZ|JJD|ATM|BEL|BVS|OPP|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,93,0.6,109331576,0.5419236814916205,17102282865
10,FOR,0.2,10,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA|FOR,144,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|CMG|UNA|BRA|URG|IOS|CGB|MUU|LEC|PBA|MXQ|PMW|SMT|OPS|NSR|PNZ|AJU|AFL|AUX|BVH|JAW|OIA|CKS|SET|MCZ|QGP|AIR|IMP|JDO|MAB|OAL|CJZ|CAU|QIG|THE|JPR|JPO|JCS|CPV|JPA|MVF|JSB|NAT|JSO|TUR|PHB|BRB|JPE|SLZ|JJD|ATM|BEL|BVS|OPP|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,87,0.5612903225806452,115920483,0.5745829094158055,15061378073
11,BEL,0.2,11,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA|FOR|BEL,143,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|CWB|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|CMG|UNA|BRA|URG|IOS|CGB|MUU|LEC|PBA|MXQ|PMW|SMT|OPS|NSR|PNZ|AJU|AFL|AUX|BVH|JAW|OIA|CKS|SET|MCZ|QGP|AIR|IMP|JDO|MAB|OAL|CJZ|CAU|QIG|THE|JPR|JPO|JCS|CPV|JPA|MVF|JSB|NAT|JSO|TUR|PHB|BRB|JPE|SLZ|JJD|ATM|BVS|OPP|ITB|FEN|PTQ|IUP|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,76,0.49032258064516127,120308955,0.5963352429874337,13534836435
12,CWB,0.2,12,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA|FOR|BEL|CWB,142,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|CMG|UNA|BRA|URG|IOS|CGB|MUU|LEC|PBA|MXQ|PMW|SMT|OPS|NSR|PNZ|AJU|AFL|AUX|BVH|JAW|OIA|CKS|SET|MCZ|QGP|AIR|IMP|JDO|MAB|OAL|CJZ|CAU|QIG|THE|JPR|JPO|JCS|CPV|TUR|JPA|JSB|IUP|JPE|MVF|ATM|JSO|SLZ|ITB|NAT|PHB|BRB|JJD|BVS|OPP|FEN|PTQ|STM|MEU|MCP|PIN|MBZ|RBB|TMT|MNX|PVH|LBR|CIZ|RBR|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,69,0.44516129032258067,127406780,0.6315170221311939,13668401063
13,CGB,0.2,13,VCP|CNF|GRU|REC|CGH|BSB|MAO|GIG|SSA|FOR|BEL|CWB|CGB,141,SJK|AQA|RAO|JTC|VAG|FRC|MII|SJP|UBA|AAX|RRJ|TEC|PGZ|DIQ|JOI|ARU|SDU|LDB|IZA|PPB|NVT|UDI|POJ|MGF|GPB|CFB|TJL|UVI|FLN|JMA|EEA|CLV|CAW|IPN|UMU|PYT|JJG|PTO|CAC|RVD|GVR|XAP|GGJ|GYN|VIX|PFB|MOC|CXJ|IGU|DOU|TFL|CGR|LHN|POA|PMG|IAL|GEL|BPG|BYO|RIA|ROO|GNM|PET|BPS|VDC|CMG|UNA|BRA|URG|IOS|MUU|LEC|PBA|MXQ|PMW|SMT|OPS|NSR|PNZ|AJU|AFL|AUX|BVH|JAW|OIA|CKS|SET|MCZ|QGP|AIR|IMP|JDO|MAB|OAL|CJZ|CAU|QIG|THE|JPR|JPO|JCS|CPV|TUR|JPA|JSB|IUP|JPE|MVF|ATM|JSO|SLZ|ITB|NAT|BRB|PHB|JJD|PVH|BVS|PTQ|STM|MNX|MBZ|RBB|OPP|PIN|MEU|LBR|TMT|MCP|RBR|FEN|CIZ|RPU|TFF|BAZ|BVB|IRZ|ERN|TBT|SJL|CZS,62,0.4,130364532,0.6461777116668723,13122231351
