passo,aeroporto_removido,removidos_acumulados,qtd_removidos,aeroportos_restantes,componentes_conectados,maior_componente,fracao_maior_componente,aeroportos_isolados,lista_aeroportos_isolados,volume_passageiros_restante,fracao_volume_restante
1,JPO,JPO,1,154,1,154,0.9935483870967742,0,,100872440,0.9999885896795326
2,BVH,JPO|BVH,2,153,1,153,0.9870967741935484,0,,100849347,0.9997596595921722
3,PBA,JPO|BVH|PBA,3,152,1,152,0.9806451612903225,0,,100848409,0.9997503608253621
4,AAX,JPO|BVH|PBA|AAX,4,151,1,151,0.9741935483870968,0,,100840892,0.999675841816715
5,AJU,JPO|BVH|PBA|AAX|AJU,5,150,1,150,0.967741935483871,0,,99517694,0.986558454134938
6,SSA,JPO|BVH|PBA|AAX|AJU|SSA,6,149,3,147,0.9483870967741935,2,MUU|MXQ,92492887,0.9169187503198929
7,NSR,JPO|BVH|PBA|AAX|AJU|SSA|NSR,7,148,3,146,0.9419354838709677,2,MUU|MXQ,92490574,0.9168958206315864
8,PYT,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT,8,147,3,145,0.9354838709677419,2,MUU|MXQ,92490148,0.9168915975242717
9,MVF,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF,9,146,3,144,0.9290322580645162,2,MUU|MXQ,92487056,0.9168609452993499
10,MAO,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO,10,145,10,132,0.8516129032258064,5,BAZ|ITB|MUU|MXQ|RPU,89577707,0.8880194123355835
11,IMP,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP,11,144,10,131,0.8451612903225807,5,BAZ|ITB|MUU|MXQ|RPU,89246567,0.8847366899033068
12,JJD,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD,12,143,10,130,0.8387096774193549,5,BAZ|ITB|MUU|MXQ|RPU,88996405,0.8822567345699034
13,AUX,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX,13,142,10,129,0.832258064516129,5,BAZ|ITB|MUU|MXQ|RPU,88991873,0.8822118070526507
14,RAO,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO,14,141,10,128,0.8258064516129032,5,BAZ|ITB|MUU|MXQ|RPU,88296017,0.8753135099552468
15,UBA,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA,15,140,10,127,0.8193548387096774,5,BAZ|ITB|MUU|MXQ|RPU,88220838,0.8745682306481981
16,NAT,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT,16,139,10,126,0.8129032258064516,5,BAZ|ITB|MUU|MXQ|RPU,86124752,0.85378889703649
17,UVI,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI,17,138,10,125,0.8064516129032258,5,BAZ|ITB|MUU|MXQ|RPU,86124617,0.853787558727834
18,BAT,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT,18,137,10,124,0.8,5,BAZ|ITB|MUU|MXQ|RPU,86124127,0.8537827011630824
19,PGZ,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ,19,136,10,123,0.7935483870967742,5,BAZ|ITB|MUU|MXQ|RPU,86122363,0.853765213929977
20,FLN,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN,20,135,10,122,0.7870967741935484,5,BAZ|ITB|MUU|MXQ|RPU,82341738,0.8162863756877655
21,BSB,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB,21,134,10,121,0.7806451612903226,5,BAZ|ITB|MUU|MXQ|RPU,68610779,0.6801659217227629
22,EEA,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA,22,133,10,120,0.7741935483870968,5,BAZ|ITB|MUU|MXQ|RPU,68604612,0.680104785800676
23,AFL,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL,23,132,10,119,0.7677419354838709,5,BAZ|ITB|MUU|MXQ|RPU,68560486,0.6796673472247062
24,JPA,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA,24,131,10,118,0.7612903225806451,5,BAZ|ITB|MUU|MXQ|RPU,67213744,0.666316558513318
25,JSB,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA|JSB,25,130,10,117,0.7548387096774194,5,BAZ|ITB|MUU|MXQ|RPU,67213734,0.6663164593793434
26,JTC,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA|JSB|JTC,26,129,10,116,0.7483870967741936,5,BAZ|ITB|MUU|MXQ|RPU,67145474,0.6656397708692655
27,IZA,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA|JSB|JTC|IZA,27,128,10,115,0.7419354838709677,5,BAZ|ITB|MUU|MXQ|RPU,67011121,0.6643078761813882
28,JJG,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA|JSB|JTC|IZA|JJG,28,127,10,114,0.7354838709677419,5,BAZ|ITB|MUU|MXQ|RPU,66904019,0.6632461314874772
29,BAZ,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA|JSB|JTC|IZA|JJG|BAZ,29,126,9,114,0.7354838709677419,4,ITB|MUU|MXQ|RPU,66904019,0.6632461314874772
30,PFB,JPO|BVH|PBA|AAX|AJU|SSA|NSR|PYT|MVF|MAO|IMP|JJD|AUX|RAO|UBA|NAT|UVI|BAT|PGZ|FLN|BSB|EEA|AFL|JPA|JSB|JTC|IZA|JJG|BAZ|PFB,30,125,9,113,0.7290322580645161,4,ITB|MUU|MXQ|RPU,66662250,0.6608493792988891
